ax = -0.527, ay = 0.069, az = 0.807, brake = False
ax = -0.524, ay = 0.07, az = 0.811, brake = False
ax = -0.518, ay = 0.068, az = 0.814, brake = False
ax = -0.518, ay = 0.068, az = 0.814, brake = False
ax = -0.515, ay = 0.066, az = 0.819, brake = False
ax = -0.515, ay = 0.066, az = 0.819, brake = False
ax = -0.516, ay = 0.065, az = 0.824, brake = False
ax = -0.516, ay = 0.066, az = 0.824, brake = False
ax = -0.516, ay = 0.066, az = 0.824, brake = False
ax = -0.515, ay = 0.067, az = 0.824, brake = False
ax = -0.515, ay = 0.067, az = 0.824, brake = False
ax = -0.518, ay = 0.073, az = 0.819, brake = False
ax = -0.522, ay = 0.078, az = 0.818, brake = False
ax = -0.522, ay = 0.078, az = 0.818, brake = False
ax = -0.527, ay = 0.086, az = 0.812, brake = False
ax = -0.527, ay = 0.086, az = 0.812, brake = False
ax = -0.527, ay = 0.096, az = 0.811, brake = False
ax = -0.527, ay = 0.101, az = 0.811, brake = False
ax = -0.527, ay = 0.101, az = 0.811, brake = False
ax = -0.529, ay = 0.101, az = 0.807, brake = False
ax = -0.53, ay = 0.098, az = 0.811, brake = False
ax = -0.53, ay = 0.098, az = 0.811, brake = False
ax = -0.531, ay = 0.095, az = 0.808, brake = False
ax = -0.531, ay = 0.095, az = 0.808, brake = False
ax = -0.532, ay = 0.089, az = 0.81, brake = False
ax = -0.529, ay = 0.084, az = 0.816, brake = False
ax = -0.529, ay = 0.084, az = 0.816, brake = False
ax = -0.523, ay = 0.08, az = 0.821, brake = False
ax = -0.523, ay = 0.08, az = 0.821, brake = False
ax = -0.521, ay = 0.077, az = 0.827, brake = False
ax = -0.52, ay = 0.078, az = 0.829, brake = False
ax = -0.52, ay = 0.078, az = 0.829, brake = False
ax = -0.519, ay = 0.078, az = 0.825, brake = False
ax = -0.519, ay = 0.078, az = 0.825, brake = False
ax = -0.52, ay = 0.078, az = 0.814, brake = False
ax = -0.522, ay = 0.076, az = 0.814, brake = False
ax = -0.522, ay = 0.076, az = 0.814, brake = False
ax = -0.524, ay = 0.073, az = 0.813, brake = False
ax = -0.524, ay = 0.073, az = 0.813, brake = False
ax = -0.524, ay = 0.069, az = 0.815, brake = False
ax = -0.524, ay = 0.069, az = 0.814, brake = False
ax = -0.524, ay = 0.069, az = 0.814, brake = False
ax = -0.524, ay = 0.069, az = 0.809, brake = False
ax = -0.524, ay = 0.069, az = 0.809, brake = False
ax = -0.523, ay = 0.071, az = 0.808, brake = False
ax = -0.522, ay = 0.071, az = 0.815, brake = False
ax = -0.522, ay = 0.071, az = 0.815, brake = False
