ax = -0.565, ay = 0.053, az = 0.794, diff = -0.037761904761904774 brake = False
ax = -0.565, ay = 0.053, az = 0.794, diff = -0.037761904761904774 brake = False
ax = -0.565, ay = 0.071, az = 0.794, diff = -0.0029047619047618545 brake = False
ax = -0.565, ay = 0.071, az = 0.794, diff = -0.0029047619047618545 brake = False
ax = -0.567, ay = 0.09, az = 0.79, diff = -0.004904761904761856 brake = False
ax = -0.56, ay = 0.103, az = 0.776, diff = 0.002095238095238039 brake = False
ax = -0.56, ay = 0.103, az = 0.776, diff = 0.002095238095238039 brake = False
ax = -0.568, ay = 0.109, az = 0.781, diff = -0.005904761904761857 brake = False
ax = -0.568, ay = 0.109, az = 0.781, diff = -0.005904761904761857 brake = False
ax = -0.541, ay = 0.089, az = 0.897, diff = 0.021095238095238056 brake = False
ax = -0.537, ay = 0.091, az = 0.835, diff = 0.02509523809523806 brake = False
ax = -0.537, ay = 0.091, az = 0.835, diff = 0.02509523809523806 brake = False
ax = -0.537, ay = 0.086, az = 0.824, diff = 0.02509523809523806 brake = False
ax = -0.537, ay = 0.086, az = 0.824, diff = 0.02509523809523806 brake = False
ax = -0.538, ay = 0.073, az = 0.809, diff = 0.02409523809523806 brake = False
ax = -0.532, ay = 0.065, az = 0.778, diff = 0.030095238095238064 brake = False
ax = -0.532, ay = 0.065, az = 0.778, diff = 0.030095238095238064 brake = False
ax = -0.535, ay = 0.053, az = 0.746, diff = 0.02709523809523806 brake = False
ax = -0.535, ay = 0.053, az = 0.746, diff = 0.02709523809523806 brake = False
ax = -0.543, ay = 0.048, az = 0.766, diff = 0.019095238095238054 brake = False
ax = -0.546, ay = 0.063, az = 0.789, diff = 0.01609523809523805 brake = False
ax = -0.546, ay = 0.063, az = 0.789, diff = 0.01609523809523805 brake = False
ax = -0.548, ay = 0.073, az = 0.804, diff = 0.01409523809523805 brake = False
ax = -0.548, ay = 0.073, az = 0.804, diff = -0.0013333333333334085 brake = False
ax = -0.563, ay = 0.076, az = 0.846, diff = -0.01633333333333331 brake = False
ax = -0.563, ay = 0.076, az = 0.846, diff = -0.01633333333333331 brake = False
ax = -0.554, ay = 0.083, az = 0.917, diff = -0.007333333333333414 brake = False
ax = -0.557, ay = 0.078, az = 0.845, diff = -0.010333333333333417 brake = False
ax = -0.557, ay = 0.078, az = 0.845, diff = -0.010333333333333417 brake = False
ax = -0.587, ay = 0.055, az = 0.816, diff = -0.04033333333333333 brake = False
ax = -0.587, ay = 0.055, az = 0.816, diff = -0.04033333333333333 brake = False
ax = -0.602, ay = 0.065, az = 0.796, diff = -0.055333333333333345 brake = False
ax = -0.589, ay = 0.07, az = 0.749, diff = -0.042333333333333334 brake = False
ax = -0.589, ay = 0.07, az = 0.749, diff = -0.042333333333333334 brake = False
ax = -0.56, ay = 0.057, az = 0.717, diff = -0.01333333333333342 brake = False
ax = -0.56, ay = 0.057, az = 0.717, diff = -0.01333333333333342 brake = False
ax = -0.538, ay = 0.044, az = 0.725, diff = 0.0086666666666666 brake = False
ax = -0.538, ay = 0.025, az = 0.744, diff = 0.0086666666666666 brake = False
ax = -0.538, ay = 0.025, az = 0.744, diff = 0.0086666666666666 brake = False
ax = -0.545, ay = 0.02, az = 0.784, diff = 0.0016666666666665941 brake = False
ax = -0.545, ay = 0.02, az = 0.784, diff = 0.0016666666666665941 brake = False
ax = -0.553, ay = 0.003, az = 0.823, diff = -0.006333333333333413 brake = False
ax = -0.56, ay = -0.008, az = 0.851, diff = -0.01333333333333342 brake = False
ax = -0.56, ay = -0.008, az = 0.851, diff = -0.01333333333333342 brake = False
ax = -0.555, ay = 0.008, az = 0.858, diff = 0.00690476190476208 brake = False
ax = -0.555, ay = 0.008, az = 0.858, diff = 0.00690476190476208 brake = False
ax = -0.538, ay = 0.016, az = 0.844, diff = 0.023904761904762095 brake = False
ax = -0.537, ay = 0.024, az = 0.824, diff = 0.024904761904762096 brake = False
ax = -0.537, ay = 0.024, az = 0.824, diff = 0.024904761904762096 brake = False
ax = -0.534, ay = 0.012, az = 0.806, diff = 0.0279047619047621 brake = False
ax = -0.534, ay = 0.012, az = 0.806, diff = 0.0279047619047621 brake = False
ax = -0.539, ay = -0.004, az = 0.8, diff = 0.022904761904762094 brake = False
ax = -0.542, ay = -0.019, az = 0.796, diff = 0.01990476190476209 brake = False
ax = -0.542, ay = -0.019, az = 0.796, diff = 0.01990476190476209 brake = False
ax = -0.532, ay = -0.043, az = 0.798, diff = 0.0299047619047621 brake = False
ax = -0.532, ay = -0.043, az = 0.798, diff = 0.0299047619047621 brake = False
ax = -0.512, ay = -0.058, az = 0.809, diff = 0.04990476190476212 brake = False
ax = -0.505, ay = -0.068, az = 0.814, diff = 0.056904761904762124 brake = False
ax = -0.505, ay = -0.068, az = 0.814, diff = 0.056904761904762124 brake = False
ax = -0.51, ay = -0.063, az = 0.819, diff = 0.05190476190476212 brake = False
ax = -0.51, ay = -0.063, az = 0.819, diff = 0.05190476190476212 brake = False
ax = -0.513, ay = -0.049, az = 0.82, diff = 0.04890476190476212 brake = False
ax = -0.52, ay = -0.037, az = 0.799, diff = 0.04190476190476211 brake = False
ax = -0.52, ay = -0.037, az = 0.799, diff = 0.04190476190476211 brake = False
ax = -0.528, ay = -0.014, az = 0.799, diff = 0.033904761904762104 brake = False
ax = -0.528, ay = -0.014, az = 0.799, diff = -0.0007142857142857784 brake = False
ax = -0.526, ay = -0.001, az = 0.797, diff = 0.0012857142857142234 brake = False
ax = -0.523, ay = 0.009, az = 0.803, diff = 0.004285714285714226 brake = False
ax = -0.523, ay = 0.009, az = 0.803, diff = 0.004285714285714226 brake = False
ax = -0.524, ay = 0.022, az = 0.807, diff = 0.003285714285714225 brake = False
ax = -0.524, ay = 0.022, az = 0.807, diff = 0.003285714285714225 brake = False
ax = -0.541, ay = 0.031, az = 0.825, diff = -0.01371428571428579 brake = False
ax = -0.549, ay = 0.047, az = 0.844, diff = -0.021714285714285797 brake = False
