dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = -22.386666666666372, dy = -0.505098039215909,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = -22.386666666666372, dy = -0.505098039215909,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = -22.386666666666372, dy = -0.505098039215909,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = -22.386666666666372, dy = -0.505098039215909,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
