distance = 101.76810026168823, message = none
distance = 101.66587829589844, message = none
distance = 102.05432176589966, message = none
distance = 102.79031991958618, message = none
distance = 102.73716449737549, message = none
distance = 104.80613708496094, message = none
distance = 103.86160612106323, message = none
distance = 104.24187183380127, message = none
distance = 105.05555868148804, message = none
distance = 105.41129112243652, message = none
distance = 105.79564571380615, message = none
distance = 106.13502264022827, message = none
distance = 106.51528835296631, message = none
distance = 106.47439956665039, message = none
distance = 106.39262199401855, message = none
distance = 107.59066343307495, message = none
distance = 107.57021903991699, message = none
distance = 107.9668402671814, message = none
distance = 108.78052711486816, message = none
distance = 108.6660385131836, message = none
distance = 108.58426094055176, message = none
distance = 109.42656993865967, message = none
distance = 109.45110321044922, message = none
distance = 110.3588342666626, message = none
distance = 111.84309720993042, message = none
distance = 110.99669933319092, message = none
distance = 111.36469841003418, message = none
distance = 111.76540851593018, message = none
distance = 112.1047854423523, message = none
distance = 112.54638433456421, message = none
distance = 113.31509351730347, message = none
distance = 113.31100463867188, message = none
distance = 113.71989250183105, message = none
distance = 115.40859937667847, message = none
distance = 114.88522291183472, message = none
distance = 115.32682180404663, message = none
distance = 115.71935415267944, message = none
distance = 115.72344303131104, message = none
distance = 115.72753190994263, message = none
distance = 116.1405086517334, message = none
distance = 116.92148447036743, message = none
distance = 117.3344612121582, message = none
distance = 117.75152683258057, message = none
distance = 118.15632581710815, message = none
distance = 119.05996799468994, message = none
distance = 118.54476928710938, message = none
distance = 119.4320559501648, message = none
distance = 118.99454593658447, message = none
distance = 120.25800943374634, message = none
distance = 120.22120952606201, message = none
distance = 121.15756273269653, message = none
distance = 121.53782844543457, message = none
distance = 122.00804948806763, message = none
distance = 122.46191501617432, message = none
distance = 122.42920398712158, message = none
distance = 122.8708028793335, message = none
distance = 123.29195737838745, message = none
distance = 124.15062189102173, message = none
distance = 124.6167540550232, message = none
distance = 125.0624418258667, message = none
distance = 125.05426406860352, message = none
distance = 126.35043859481812, message = none
distance = 126.84110403060913, message = none
distance = 127.3072361946106, message = none
distance = 128.16181182861328, message = none
distance = 127.73656845092773, message = none
distance = 129.07772064208984, message = none
distance = 128.66065502166748, message = none
distance = 128.66474390029907, message = none
distance = 129.51523065567017, message = none
distance = 130.46385049819946, message = none
distance = 130.50473928451538, message = none
distance = 130.9463381767273, message = none
distance = 131.03629350662231, message = none
distance = 131.9440245628357, message = none
distance = 132.36109018325806, message = none
distance = 133.25655460357666, message = none
distance = 132.8844666481018, message = none
distance = 134.26650762557983, message = none
distance = 133.84535312652588, message = none
distance = 135.14561653137207, message = none
distance = 135.61174869537354, message = none
distance = 136.1760139465332, message = none
distance = 135.7793927192688, message = none
distance = 136.27005815505981, message = none
distance = 138.0650758743286, message = none
distance = 138.0732536315918, message = none
distance = 138.60889673233032, message = none
distance = 139.49618339538574, message = none
distance = 138.73565196990967, message = none
distance = 139.59840536117554, message = none
distance = 140.1708483695984, message = none
distance = 140.63289165496826, message = none
distance = 140.79644680023193, message = none
distance = 141.6632890701294, message = none
distance = 142.62417554855347, message = none
distance = 143.12301874160767, message = none
distance = 142.77955293655396, message = none
distance = 144.16159391403198, message = none
distance = 144.19021606445312, message = none
distance = 145.12656927108765, message = none
distance = 145.68265676498413, message = none
distance = 145.33101320266724, message = none
distance = 146.23056650161743, message = none
distance = 146.76212072372437, message = none
distance = 147.747540473938, message = none
distance = 148.32407236099243, message = none
distance = 148.438560962677, message = none
distance = 149.7797131538391, message = none
distance = 149.41989183425903, message = none
distance = 149.94735717773438, message = none
distance = 150.51162242889404, message = none
distance = 151.05953216552734, message = none
distance = 151.54201984405518, message = none
distance = 152.55197286605835, message = none
distance = 153.08352708816528, message = none
